Term,Sheet,CIS Controls IG1 Minimum,Description,Example
Enterprise Asset Identifier,Enterprise Asset Inventory v8.1,Yes,A unique ID that can be used to identify an asset.,458369
Asset Sub-Class,Enterprise Asset Inventory v8.1,,A term specific to the CIS Controls that can be used to classify an asset. Can also be customized based on the enterprise.,End-User Device
Date of Purchase,Enterprise Asset Inventory v8.1,Yes,The purchase date of the asset.,1/1/2025
Purchase Price,Enterprise Asset Inventory v8.1,Yes,The purchase price of the asset.,"$1,020.00"
Item Description,Enterprise Asset Inventory v8.1,Yes,A general description of the enterprise asset.,ABC Laptop XPS 16
Manufacturer,Enterprise Asset Inventory v8.1,Yes,The manufacturer of the asset.,ABC
Model Number,Enterprise Asset Inventory v8.1,Yes,The model number of the asset that identifies the type or product line. Given by the manufacturer.,9640
Serial Number,Enterprise Asset Inventory v8.1,Yes,The serial number of the asset that uniquely identifies the asset. Can be the same or different from the Enterprise Asset ID. Given by the manufacturer.,CN-0546871-1536-165465-0564Q
Name of the Enterprise Asset Owner,Enterprise Asset Inventory v8.1,Yes,The member of the workforce that the enterprise asset is assigned to and is responsible for.,John Smith
Machine Name,Enterprise Asset Inventory v8.1,Yes,The name that is assigned to an enterprise asset for the purposes of identification and management.,JSMITH-09
Business Unit,Enterprise Asset Inventory v8.1,Yes,The business unit or department that the enterprise asset owner resides in.,Sales
Physical Location of Enterprise Asset,Enterprise Asset Inventory v8.1,Yes,The physical location of the enterprise asset.,Headquarters Cubicle 4G
Physical (MAC) Address ,Enterprise Asset Inventory v8.1,Yes,A 12-character hexadecimal number to uniquely identify an enterprise asset. Assigned by the manufacturer on the network interface card (NIC).,00:1A:2B:3C:4D:5E
IP Address,Enterprise Asset Inventory v8.1,Yes,"A network address assigned to an enterprise asset for identification within a network, either internal or external. While intended to be unique, IP addresses are often shared due to NAT (Network Address Translation) or proxying, meaning a single IP may represent multiple devices. This can create challenges for asset tracking, security monitoring, and network management tasks.",192.168.123.132
Warranty Expiration Date ,Enterprise Asset Inventory v8.1,Yes,The expiration date of the warranty.,1/1/2027
Any Relevant Licensing Information,Enterprise Asset Inventory v8.1,Yes,Any information that may be prudent to include regarding licensing.,Product support included in license
Approval to Connect to Enterprise Network?,Enterprise Asset Inventory v8.1,Yes,Is the asset approved to connect to the network.,Yes
IT Verification of Enterprise Asset Inventory,Enterprise Asset Inventory v8.1,Yes,The last date that the asset was verified by IT.,6/1/2025
Disposal Date,Enterprise Asset Inventory v8.1,,The date that the asset was disposed of.,1/1/2027
Disposal Type (Controlled/Uncontrolled),Enterprise Asset Inventory v8.1,,The method or type of disposal. ,Hard drive shredded through data destruction service on-site.
Software Title,Software Asset Inventory v8.1,Yes,The title/name of the software.,Software ABC
Business Purpose,Software Asset Inventory v8.1,Yes,The business justification or purpose that the software is used for.,Used as the enterprise's enterprise resource planning tool
Asset Sub-Class,Software Asset Inventory v8.1,,A term specific to the CIS Controls that can be used to classify an asset. Can also be customized based on the enterprise.,Application
